634,"Subject: christmas tree farm pictures
",ham 
785,"Subject: 12 / 99 k ' s needed and 1 / 2000 k ' s needed
daren , can you help me with placing k ' s @ the below listed meters ? i don ' t
know if these deals should be rolled or if new ones were set up .
i ' ll need a k @ each specified meter for the month following the noted month
that had a k @ it .
thanks in advance for your help .
- jackie -
3 - 9497
98 - 1534 ( delivery ) last flowed w / a k was 12 / 99 on 215 k sitara # 95541 ( stop
date 12 / 99 )
98 - 6563 ( receipt ) last flowed w / a k wasl 1 / 99 on 203 k sitara # 26511 , then new
sitara # 130913 ( which was killed ) evergreen was checked on this one .
98 - 6614 ( receipt ) sitara # 130917 - this deal ' s stop date is 2 / 29 / 2000 . the
deal amount is for 1487 mmbtu ' s but the estimated vols . are "" 0 "" . did not
want to change anything in sitara without your knowledge .
98 - 9758 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 133088 ( stop
date 12 / 99 ) evergreen was checked on this one .
98 - 9651 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 51491 ( stop
date 12 / 99 ) new deal # 136744 ( deal killed )
98 - 9789 ( receipt ) last flowed w / a k was 11 / 99 on 012 - 41500 - 02 - 203 sitara
# 108246 ( stop date 11 / 99 )
98 - 5789 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 26569
( stop date 12 / 99 )
98 - 6855 ( receipt ) last flowed w / a k was 12 / 99 on 215 k sitara # 94120 ( stop
date 12 / 99 )
98 - 6725 ( receipt ) last flowed w / a kwas 12 / 99 on 215 k sitara # 138332 ( stop
date 12 / 99 )
98 - 9676 ( receipt ) last flowed w / a k was 12 / 99 on 215 k sitara # 95912 ( stop
date 12 / 99 )
98 - 4548 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 94147 ( stop
date 12 / 99 )",ham
786,"Subject: re : meter 989614
heads up on this . they will be putting in a firm ticket starting in january .
i have explained what a problem this causes your group , and we are working on
a solution . unfortanuately , this whole thing was missed , until susan started
asking for a ticket .
julie
- - - - - - - - - - - - - - - - - - - - - - forwarded by julie meyers / hou / ect on 01 / 18 / 2000 03 : 39
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
01 / 18 / 2000 03 : 29 pm
to : julie meyers / hou / ect @ ect , donald p reinhardt / hou / ect @ ect
cc :
subject : re : meter 989614
yes ,
vlt
julie meyers
01 / 18 / 2000 03 : 11 pm
to : vance l taylor / hou / ect @ ect
cc :
subject : re : meter 989614
will this be for january forward ?
vance l taylor
01 / 18 / 2000 03 : 08 pm
to : julie meyers / hou / ect @ ect
cc : susan d trevino / hou / ect @ ect , pat clynes / corp / enron @ enron , melissa
graves / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , susan smith / hou / ect @ ect
subject : re : meter 989614
julie ,
i have received the partially executed committed reserves contract from
etoco . the contract not only has meter # 9614 attached to it but also meters
9651 & 9672 . we will generate a ticket to be entered into sitara asap .
vlt
x 3 - 6353
julie meyers
01 / 18 / 2000 02 : 39 pm
to : vance l taylor / hou / ect @ ect
cc : susan d trevino / hou / ect @ ect , pat clynes / corp / enron @ enron , melissa
graves / hou / ect @ ect
subject : meter 989614
what is the status of this meter . this was the deal that was under etoco .
have we gotten a ticket setup yet ?
julie
- - - - - - - - - - - - - - - - - - - - - - forwarded by julie meyers / hou / ect on 01 / 18 / 2000 02 : 38
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
susan d trevino
01 / 18 / 2000 11 : 17 am
to : julie meyers / hou / ect @ ect
cc : pat clynes / corp / enron @ enron
subject : meter 989614
julie , will there be a new deal / contract set up for this meter ? there are
valid actuals for 1 / 1 and 1 / 2 and i need to allocate these volumes to a
contract otherwise i will keep getting an allocation exception error .
thanks , susan .
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan d trevino / hou / ect on 01 / 18 / 2000
11 : 11 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
susan d trevino
01 / 12 / 2000 11 : 20 am
to : julie meyers / hou / ect @ ect
cc :
subject : meter 989614
julie ,
per our conversation yesterday , the deals / contracts associated with this
meter have been terminated as of 12 / 31 / 99 . please let me know what the
status is on this matter because the meter is still active and flowing and
there is no contract to allocate to .
thanks ,
susan
x 35796",ham
787,"Subject: re : 12 / 99 k ' s needed and 1 / 2000 k ' s needed
daren ,
thank you for your prompt attention to this matter . just a reminder for you
to roll the first six days of december 1999 for 98 - 9789 sitara # 108246 .
carlos / tom ,
please apprise when you ' ve completed your research with producer services
referencing the below meters that daren have referred to as "" contract
terminated "" .
daren j farmer
01 / 18 / 2000 12 : 38 pm
to : jackie young / hou / ect @ ect , carlos j rodriguez / hou / ect @ ect , tom
acton / corp / enron @ enron
cc : pat clynes / corp / enron @ enron , rita wynne / hou / ect @ ect
subject : re : 12 / 99 k ' s needed and 1 / 2000 k ' s needed
see notes in red below . in each case where the contract has been terminated ,
tom and / or carlos will need to get with producer services to determine what
we need to do ( set up a gtc , renegotiate the term deal , etc ) .
d
jackie young
01 / 18 / 2000 11 : 24 am
to : daren j farmer / hou / ect @ ect
cc : pat clynes / corp / enron @ enron , rita wynne / hou / ect @ ect
subject : 12 / 99 k ' s needed and 1 / 2000 k ' s needed
daren , can you help me with placing k ' s @ the below listed meters ? i don ' t
know if these deals should be rolled or if new ones were set up .
i ' ll need a k @ each specified meter for the month following the noted month
that had a k @ it .
thanks in advance for your help .
- jackie -
3 - 9497
98 - 1534 ( delivery ) last flowed w / a k was 12 / 99 on 215 k sitara # 95541 ( stop
date 12 / 99 ) new deal added for january # 151694
98 - 6563 ( receipt ) last flowed w / a k wasl 1 / 99 on 203 k sitara # 26511 , then new
sitara # 130913 ( which was killed ) evergreen was checked on this one .
contract terminated .
98 - 6614 ( receipt ) sitara # 130917 - this deal ' s stop date is 2 / 29 / 2000 . the
deal amount is for 1487 mmbtu ' s but the estimated vols . are "" 0 "" . did not
want to change anything in sitara without your knowledge . this is a good
deal . for the first part of the month , you should nom the zero to pops .
beginning tomorrow , we will have volume out there on this ticket .
98 - 9758 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 133088 ( stop
date 12 / 99 ) evergreen was checked on this one . contract terminated .
98 - 9651 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 51491 ( stop
date 12 / 99 ) new deal # 136744 ( deal killed ) contract terminated .
98 - 9789 ( receipt ) last flowed w / a k was 11 / 99 on 012 - 41500 - 02 - 203 sitara
# 108246 ( stop date 11 / 99 ) deal rolled for six days to cover flow .
98 - 5789 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 26569
( stop date 12 / 99 ) contract terminated .
98 - 6855 ( receipt ) last flowed w / a k was 12 / 99 on 215 k sitara # 94120 ( stop
date 12 / 99 ) deal was rolled for jan .
98 - 6725 ( receipt ) last flowed w / a kwas 12 / 99 on 215 k sitara # 138332 ( stop
date 12 / 99 ) this was a spot deal . we will have to renegotiate the price to
cover the flow . i will work with craig faulbaum on this .
98 - 9676 ( receipt ) last flowed w / a k was 12 / 99 on 215 k sitara # 95912 ( stop
date 12 / 99 ) new deal 151669 for jan
98 - 4548 ( receipt ) last flowed w / a k was 12 / 99 on 96026573 sitara # 94147 ( stop
date 12 / 99 ) new deal 151666 for jan",ham
788,"Subject: 19 th noms on copanos
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 18 / 2000
11 : 11 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 18 / 2000 10 : 48 : 53 am
to : ami chokshi / corp / enron @ enron
cc :
subject : 19 th noms on copanos
( see attached file : hpl - jan . xls )
- hpl - jan . xls",ham
789,"Subject: hl & p
the most recent numbers",ham
790,"Subject: 2000 plan allocations
i ' ve given up on the spreadsheet - i couldn ' t insert the column . so this is
my allocation . would you please update the spreadsheet for these changes and
send me a clean copy ? i want o distribute to my management team for their
records . thanks .",ham
791,"Subject: review texas budget meeting
please plan to attend a meeting tuesday the 25 th from 4 - 5 pm reviewing the
texas budgets . you will receive hard copies of the budgets tomorrow . please
review them and hold all questions and concerns until the meeting . if at all
possible please forward your questions to me so that i may compile a list to
be delivered to lisa cousino tuesday morning .
thank you !
yvette
x 3 . 5953",ham
792,"Subject: 2000 plan allocations and january allocations
please read brian ' s memo below . we spoke briefly about this yesterday in the
staff meeting . i have copied each of you on a memo earlier today where i
have provide the 2000 plan allocations . please note that we were not making
changes to the plan , only breaking the gas asset group into smaller buckets .
any chnages which have been made since the budget was approved are not
reflected on the allocation sheet . rather they are reflected on the 1 / 00
allocations , and they will require explanations each month as all variances
from plan do . this includes new rc ' s which have set up , etc .
i need each of you to review the 2000 plan allocations as i submitted them
earlier today , and provide an accurate allocation of your rc for 1 / 00 . what
has your group spent their time on in 1 / 00 ? ? ? please be aware that we could
receive questions from the commercial teams , so document your logic . some
things to consider :
project sally - allocate to gas network development
project hurricane - allocate to ? ? ? ? - ( i have a call into jim coffey )
denver business - allocate to rocky mountain asset originations
if you have some other activities and your not sure where to allocate them ,
either call me , jackie nelson or jim coffey .
one other thing to note : the network trading group will be further broken
down into 2 groups : trading ( tom martin and jim schwieger ) and
transportation ( ed gottlob ) . although the attached worksheet does not
include this breakdown , please include it in yours .
i would like you allocations back to me no later than thursday , 1 / 20 @
3 : 00 pm . thanks .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 01 / 19 / 2000
05 : 36 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
brian heinrich
01 / 14 / 2000 05 : 07 pm
to : robert superty / hou / ect @ ect , brent a price / hou / ect @ ect , susan
harrison / hou / ect @ ect , brenda f herod / hou / ect @ ect , bob shults / hou / ect @ ect ,
sheila glover / hou / ect @ ect , scott pleus / hou / ect @ ect , d todd hall / hou / ect @ ect ,
mary solmonson / hou / ect @ ect , stephen p schwarz / hou / ect @ ect
cc : sally beck / hou / ect @ ect , lisa b cousino / hou / ect @ ect
subject : 2000 plan allocations and january allocations
the attached files contain the allocation percentages for 2000 plan , january
2000 actuals and a description of the new assets teams .
please update the 2000 plan file to reflect the following changes to the
assets team . the assets team is now broken out into the following "" groups ""
which are described in the attached word document :
rc # team name rc owner
the 2000 plan file now has columns for the above teams , please take the
percentage that was previously allocatated to assets ( which is in the
executive column ) and reallocate it among all of the teams except rocky
mountain asset originations that you support . i have already inserted the
new percentages to be used for rocky mountain , which are based on a portion
of the upstream origination allocation that was determined by the assets
group . consequently i have changed the allocation percentage for upstream
origination . i have also protected all of the cells except the ones you need
to change to avoid confusion .
i also need you to update the percentages to be used for january 2000
actuals . i have added the new rc ' s that we have set up since plan has been
complete , so please make sure you have each rc 100 % allocated .
i will need the updated plan percentages returned to me by noon wednesday
january 19 th , and the updated january 2000 percentages returned to me by end
of day friday january 21 st .
thanks for your help in getting these updated .
brian",ham
793,"Subject: re : interview itinerary
daren and gary ,
i will be at jury duty on monday . i hope to be back by this time but you
never know . thanks , pat
gail francis @ ect
01 / 19 / 2000 09 : 37 am
to : mmccoy 3617 @ aol . com
cc : pat clynes / corp / enron @ enron , samantha ray / hou / ect @ ect , alexus
rhone / corp / enron @ enron
subject : interview itinerary
hi mark , this is your itinerary for monday . please let me know if you have
any questions or conflicts . looking forward to meeting you . thanks and good
luck !",ham
794,"Subject: reliant energy - entex transport imbalance
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 19 / 2000
04 : 14 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
michael w morris @ ect
01 / 19 / 2000 03 : 01 pm
to : howard b camp / hou / ect @ ect
cc : ami chokshi / corp / enron @ enron , janet h wallis / hou / ect @ ect , james i
ducote / hou / ect @ ect , brenda f herod / hou / ect @ ect , eric bass / hou / ect @ ect , pat
clynes / corp / enron @ enron , george grant / hou / ect @ ect , lauri a allen / hou / ect @ ect ,
rita wynne / hou / ect @ ect
subject : reliant energy - entex transport imbalance
howard ,
this memo is regarding the 91 , 297 mmbtu imbalance that was created in april
of 1999 on
transport contract # 012 - 41991 - 02 - 004 . the transport delivery off hplc was
shorted to keep
entex whole on a minimum purchase from ena . originally this transport
imbalance was to be cleared
the next month in may of 1999 . some of the imbalance was cleared in may of
1999 , but 91 , 297 mmbtu
still remains as a imbalance on this contract . we need to monitor the ifhsc
index for the upcoming months
so that when one is compatible with the ifhsc index of april of 1999 we can
clear this imbalance . we will
need to allocated 91 , 297 mmbtu extra to the transport . this will reduce the
purchase from ena by 91 , 297
mmbtu for that month . i need you to watch over whoever is doing the reliant
energy - entex allocation to
make sure this happens .
thanks ,
michael",ham
795,"Subject: cut 20 / d into midcon
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 19 / 2000
08 : 45 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 19 / 2000 08 : 24 : 42 am
to : ami chokshi / corp / enron @ enron
cc :
subject : cut 20 / d into midcon
( see attached file : hpl - jan . xls )
- hpl - jan . xls",ham
796,"Subject: carthage plant imbalance
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 19 / 2000
03 : 51 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
dscottl @ . com on 01 / 19 / 2000 03 : 41 : 11 pm
to : nelson ferries / corp / enron @ enron , "" -
* willie . shannon @ dvn . com "" , ami
chokshi / corp / enron @ enron , gregory schockling / corp / enron @ enron
cc : "" - * williams , mary ""
subject : carthage plant imbalance
i ' ve discussed the carthage plant imbalance with chad cass at duke energy
( carthage plant operator ) and willie shannon at devon energy and here is what
i ' ve learned . duke and devon met last fall to discuss the imbalance , which
according to devon was approximately 240 , 000 due to duke at 8 / 31 / 99 . devon
acknowledged that an imbalance existed but didn ' t think it was that high .
both
parties seemed to take the position that the other side needed to prove them
wrong . according to duke the imbalance grew by 120 , 000 in september , 16 , 000
in
october , and another 12 , 000 in november ( all round numbers ) bringing the total
to approximately 395 , 000 through the end of november . based on current month
estimates , duke thinks january sales are 1 , 000 - 2 , 000 / day higher than
production , and would like to see a cut in sales of 4 , 000 / day effective friday
1 / 21 / 00 in order to balance for the month of january . again devon disagrees
with this daily overage , based on their production estimates , but since they
recognize an imbalance exists , willie @ devon has agreed to reduce the volume
available for sale by 4 , 000 / day effective friday the 21 st . this will reduce
the amount of "" excess "" gas ( gas daily - priced ) that enron has available to sell
at carthage .
additionally , beginning february lst duke requests payback to the plant of
5 , 000 / day , continuing until the imbalance is worked off . devon should reduce
their lst of the month availabe volume by 5 , 000 / d to accomplish this , and
enron
needs to verify if that reduction is factored into the numbers when they are
setting up february activity .
a key point to this imbalance issue , and one that i believe all of the parties
agree on , is that ces , now enron , purchases devon ' s carthage gas at the
tailgate of the plant , so any production - related imbalance is between devon
and
the plant ( duke ) and make - up volumes only reduce what enron receives from
devon . enron is not buying the gas from devon and turning around and paying
back a historical imbalance . however , since ces ( and now enron ) is set up as
devon ' s agent at carthage , duke communicates the imbalance information and
coordinates make - up arrangements with enron . enron in turn needs to verify
with devon that devon has adjusted their available volumes to reflect any
make - up . hopefully once actual make - up commences , devon and duke will strive
to reconcile to an actual imbalance that they both agree on .
please call me if you have any questions @ ( 713 ) 693 - 2581 .
david",ham
797,"Subject: project hurricane / bridgeline status
fyi .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 01 / 20 / 2000
02 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron technology
from : tommy j yanowski 01 / 20 / 2000 12 : 22 pm
to : john tollefsen , arshak sarkissian , keith dziadek / hou / ees @ ees , scott
mills , stephen schwarz , michael eiben / hou / ect @ ect , brenda herod , inja chun ,
dave nommensen , brent a price / hou / ect @ ect , scotty gilbert , jim
fussell / hou / ect @ ect , steve venturatos / hou / ect @ ect , connie sutton / hou / ect @ ect ,
donna consemiu / hou / ect @ ect , antoine v pierre / hou / ect @ ect , mary solmonson ,
susan harrison / hou / ect @ ect , edward de
valcourt / enron _ development @ enron _ development , jim coffey / hou / ect @ ect , julie
ferrara / hou / ect @ ect , romeo d ' souza / hou / ect @ ect , ,
wrighcs @ texaco . com , robert d morgan / hou / ect @ ect , wanda curry , james
mckay / hou / ect @ ect
cc : harold bertram / hou / ect @ ect , philippe bibi , beth perlman , robert
shiring / hou / ect @ ect , shonnie daniel / hou / ect @ ect , sally beck
subject : project hurricane / bridgeline status
here is a quick status and list of to do ' s related to setting up the new j . v .
between enron & texaco which will be combining the lrc and bridgeline
pipeline systems :
summary : the lrc & bridgeline pipeline systems will be combined under the
name of bridgeline llc . ownership in the jv will be split 60 % texaco & 40 %
enron . bridgeline gas marketing llc will be the entity that will be trading
on the pipelines under the new j . v . contracts and service agreements are in
the process of being drafted .
enron will be providing the trading and commercial operations systems to
support this j . v . texaco will be providing the scada system . i understand
that accounting is still being discussed . the trading , risk , & perhaps
scheduling personnel for this jv will be initially relocated to the 21 st
floor of the enron building and will eventually move to probably the 3 allen
center once a more permanent spot can be built out . trading for the new jv
will start in early february for march production .
to do ' s :
accounting : i ' ve asked jim coffey to set up two work orders to capture it
transition and ongoing costs . texaco is also trying to set up a meeting next
monday to step through the accounting flow so that we are all on the same
page and make sure there is nothing that will fall through the cracks .
pc ' s : jim fussell is in the process of ordering the pc ' s for this jv at my
request . i will need the work order numbers to track these costs .
networks : i ' m coordinating with arshak and his team to make sure that the
voice and data networks are in place for eb 21 . once the more permanent spot
is nailed down we will then need to do the same for that location . a
combination of trader phones , lucent phones , stenfons and amtels have been
requested .
location on eb 21 : i ' m waiting on a call back from chris larson from
facilities to find out what locations on 21 will be assigned to the new jv .
currently half of the floor is empty but they are set up with high wall
cubes . there may need to be some build out for the traders to low wall
cubes . we can ' t set up the pc ' s , phones , amtels , etc until this is done .
data conversion : i have requested from texaco the contract , deal and
meter / facility information we will need to set up in our systems to begin
trading for march production . it may be possible to get an electronic dump
of this data from texaco if enron defines the data fields that we will need .
we also need to set up the trading entities and portfolios . i will also need
to know who will need to have access to this data so that we can set up the
system security . i have received the names of the traders but i don ' t know
who else will need access .
interface between enron ' s unify pop ' s application and bridgeline ' s scada
application : i ' ve asked dave nommensen from enron to get with carryn wright
from texaco to begin the process of defining the interface between the two
applications and estimate the time to build and implement the interface .
there will also need to be a transition plan put in place where lrc ' s
rtu ' s / efm is redirected to the bridgeline scada system . in the meantime
there will be two scada systems and perhaps two gas controls until everything
is merged into one . this will probably mean some manual interfaces between
pop ' s and scada for confirmed noms and efm volumes until the transition is
complete .
scada communications : currently the lrc rtu ' s / efm communicate back to
enron ' s scada system via leased lines . bridgelines rtu ' s communicate back to
them via a microwave system . the new jv could save on communications costs
by switching lrc ' s rtu communication to the microwave . perhaps this is best
done as a part of the scada transition .
accounting data needed by texaco for royalty purposes : this data needs to be
better defined . i will follow up with john ledoux from texaco to get this
process started .
hourly volumes : bridgeline currently has one utility customer who may be
billed on an hourly basis depending on the amount of swing . we need to talk
through this process to see what enhancements may be needed . at least
initially there will need to be some manual processes in place to support the
billing for this one customer .
please let me know if you ' d like to meet on any of these topics . i can have
my assistant set up the meeting if needed . in the mean time i can be reached
at 713 - 853 - 6858 . thanks ! - tommy",ham
798,"Subject: entex transaction 7
for december 1999 , since the volumes for transaction 7 ( contract 306 ) were
actualized at 259 , 093 , which is greater than the max monthly of 248 , 000 ,
please reallocate the excess volumes to transaction 10 ( contract 301 ) at
i + . 769 .
ami",ham
799,"Subject: 21 st changes
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 20 / 2000
10 : 39 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 20 / 2000 10 : 36 : 49 am
to : ami chokshi / corp / enron @ enron
cc :
subject : 21 st changes
( see attached file : egmnom - jan . xls )
- egmnom - jan . xls",ham
800,"Subject: re : ces deal summary
ami ,
please add rhonda robinson and howard camp to the list . the items i would
like addressed are as follows :
vm - allocations :
1 . list of meters and allocation structures - callouts , swings , etc .
2 . listing of external meter contacts
3 . copies of expense contracts
4 . overview of the transactions - this may not be accomodatable in this
meeting , but an overview of some of the transactions , i . e . from deal to
settlements
5 . ensure all expense contracts are set up
6 . discussion of any impact to any of the major industrial customers , i . e .
entex , equistar , hl & p
vm - transport
1 . imbalances
2 . # of shippers , contracts , invoices
3 . any special transactions that need to be handled via the settlements
process
4 . copies of contracts
5 . customer contact listing for each account
i realize that all of these things may not be addressed in this meeting , but
they have to be answered by someone very soon in order for vm to do our
jobs . hopefully , if the ces representative cannot answer the questions , he
can direct me to someone who can and quickly . let me know if you have any
questions . thanks for your role in this meeting .
from : ami chokshi @ enron 01 / 20 / 2000 10 : 06 am
to : brenda f herod / hou / ect @ ect , dscottl @ . com , daren j
farmer / hou / ect @ ect , rita wynne / hou / ect @ ect , lisa csikos / hou / ect @ ect , pat
clynes / corp / enron @ enron , eric bass / hou / ect @ ect
cc : yvette g connevey / corp / enron @ enron , pamela chambers / corp / enron @ enron
subject : ces deal summary
the meeting has been time has been changed to 11 : 30 am - 1 : 00 pm . please let me
know if you ' ll be able to attend and / or if there will be any others
attending , so we can have an accurate head count for lunch .
ami
3 - 9272
the following meeting is to discuss the new deals that have come to the texas
desk from ces
topic : ces deals summary
date : friday , january 21
time : 2 : 00 pm - 3 : 00 pm
location : 3749
please e - mail me prior to friday with any specific questions that you may
want to address .
thank you ,
ami
3 - 9272",ham
801,"Subject: valero - - meter 8018
the plant went down at 0001 hrs this morning . my information is they moved
their turnaround up and will be down for as long as 3 weeks . please let us
know how the economics should be handled - - - - buyback , force majure , no deal ,
or what .
thanks
ken",ham
802,"Subject: rescheduling of usecase analysis for enom mtg .
please let me know if you would be available for the above mtg on tuesday ,
jan . 25 th from 1 : 00 - 4 : 00 asap .
thanks ,
mary
- - - - - - - - - - - - - - - - - - - - - - forwarded by mary weatherstone / hou / ect on 01 / 21 / 2000
11 : 42 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
mary weatherstone on 01 / 21 / 2000 11 : 30 : 15 am
to : inja chun / hou / ect @ ect , paul f poellinger / hou / ect @ ect , dave
nommensen / hou / ect @ ect , kevin montagne / hou / ect @ ect , michael
guadarrama / hou / ect @ ect , robert superty / hou / ect @ ect , randall l
gay / hou / ect @ ect , george smith / hou / ect @ ect , katherine l kelly / hou / ect @ ect ,
edward terry / hou / ect @ ect , daren j farmer / hou / ect @ ect
cc : jay webb / hou / ect @ ect , heather choate / hou / ect @ ect , yvette g
connevey / corp / enron @ enron , cindy cicchetti / hou / ect @ ect
subject : usecase analysis for enom mtg . - cancelled
the above referenced meeting that was scheduled for today at 2 : 00 - 5 : 00 in
eb 2601 a has been cancelled . i will contact everyone for a time to reschedule
next week .
thanks ,
mary
- - - - - - - - - - - - - - - - - - - - - - forwarded by mary weatherstone / hou / ect on 01 / 21 / 2000
11 : 27 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
mary weatherstone on 01 / 18 / 2000 05 : 34 : 25 pm
to : inja chun / hou / ect @ ect , paul f poellinger / hou / ect @ ect , dave
nommensen / hou / ect @ ect , kevin montagne / hou / ect @ ect , michael
guadarrama / hou / ect @ ect , robert superty / hou / ect @ ect , randall l
gay / hou / ect @ ect , george smith / hou / ect @ ect , katherine l kelly / hou / ect @ ect ,
edward terry / hou / ect @ ect , daren j farmer / hou / ect @ ect
cc : jay webb / hou / ect @ ect , heather choate / hou / ect @ ect , yvette g
connevey / corp / enron @ enron , cindy cicchetti / hou / ect @ ect
subject : usecase analysis for enom mtg .
per jay ' s request the above referenced meeting has been scheduled for friday ,
january 21 st at 2 : 00 - 5 : 00 in eb 2601 a .
please plan on attending . if you cannot attend , please let me know asap .
thanks ,
mary",ham
803,"Subject: gmt . inc .
tom ,
please create a spot ticket for gas that commence flowing on 1 / 14 / 00 at 8 : 30
am . the pertinent information is as follows :
counterparty mtr . volume price
gmt , inc . 9814 500 mmbtu / d 100 % if / hsc
should you have any questions , please give me a call .
thanks ,
vlt
x 3 - 6353",ham
804,"Subject: re : gmt . inc .
oooops ! how about 100 % if / hsc less $ 0 . 10
vlt
vance l taylor
01 / 21 / 2000 01 : 56 pm
to : tom acton / corp / enron @ enron , carlos j rodriguez / hou / ect @ ect , daren j
farmer / hou / ect @ ect
cc : susan smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , melissa
graves / hou / ect @ ect , brian m riley / hou / ect @ ect
subject : gmt . inc .
tom ,
please create a spot ticket for gas that commence flowing on 1 / 14 / 00 at 8 : 30
am . the pertinent information is as follows :
counterparty mtr . volume price
gmt , inc . 9814 500 mmbtu / d 100 % if / hsc
should you have any questions , please give me a call .
thanks ,
vlt
x 3 - 6353",ham
805,"Subject: pat - out for jury duty
i am out of the office on monday for jury duty . in my absence , charlotte
hawkins will be the contact for the texas desk
logistics group . she will attend any meetings while i am out and is
responsible for our group ( we will rotate this backup
role among the seniors of the group ) . i can be paged at ( 713 ) 708 - 0117 .
thanks , pat",ham
806,"Subject: meter 1428 - brandywine / dupont and beamont methanol
my contact at beaumont methanol asked me to tell everybody in our shop the
following : to clarify whom to contact about the nomination and scheduling
for beaumont methanol at meter # 1428 .
first some background : we feed beaumont methanol through a meter station
that we own and control , but which also feeds brandywine / dupont . in fact ,
the gas goes through a dupont pipeline header downstream of our meter station
before it gets to beamont methanol . sometimes we are doing business with
both beaumont methanol and brandywine / dupont . . . . . but sometime we only do
business with one of them .
whom to call for any nominations and scheduling issues for beaumont methanol :
bob dorcheus - brandywine / dupont - 281 - 293 - 1789
chyral hankins - beaumont methanol ( terra ) - 712 - 233 - 6558
please do not call the beaumont methanol control room at the plant with
regard to scheduling and nomination issues . they are out of the loop on
these issues . if we call the beaumont methanol control room at the plant
with regard to scheduling and nominations issues , it will cause confusion of
the type we had yesterday and today .
obviously , it is of course ok for hpl gas control to call the beaumont
methanol plant control room on any emergency operational issues .
thanks . . . and have a great weekend .
lee",ham
807,"Subject: 1 / 00 allocations
attached is the allocation for 1 / 00 for texas operations . let me know if you
have any questions .",ham
808,"Subject: monthly clean - up and bridge back for non - edi pipes
to help avoid unify problems during bid - week we must be keeping up with the
business on the non - edi pipes throughout the month rather than wait until the
end of the month to clean - up and bridge back . the it staff has identified
this as one of the things logistics could do to help them maintain reasonable
performance .
please make sure you know the status of each of your pipes and speak to the
schedulers if you see they aren ' t keeping their data clean and bridged . i
expect you to keep on top of this throughout each month .
we are asking everyone else to work around our schedule so lets make sure we
do our part .
thanks - bob",ham
809,"Subject: re : valero - - meter 8018
ok , it looks like we are going with the no deal situation . i will zero out
the buyback and the sale for the next 2 weeks . let me know if you want to
handle it differently .
- - - - - - - - - - - - - - - - - - - - - - forwarded by kenneth seaman / hou / ect on 01 / 21 / 2000
12 : 05 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : gary w lamphier 01 / 21 / 2000 11 : 55 am
to : kenneth seaman / hou / ect @ ect
cc : dan j hyvl / hou / ect @ ect , joanie h ngo / hou / ect @ ect
subject : re : valero - - meter 8018
i have requested a force majeure letter from valero and they wanted to know
what exact language should be in this letter . dan , can you give me some
guidance that i can directly forward to valero .
kenneth seaman 01 / 21 / 2000 09 : 17 am
to : gary w lamphier / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , joanie h ngo / hou / ect @ ect
subject : valero - - meter 8018
the plant went down at 0001 hrs this morning . my information is they moved
their turnaround up and will be down for as long as 3 weeks . please let us
know how the economics should be handled - - - - buyback , force majure , no deal ,
or what .
thanks
ken",ham
